VCD info: dumpfile sim/out/p1_top_tb.vcd opened for output.
t=65000 instr=1 addr=0x00000000 wstrb=0x0 wdata=0xxxxxxxxx rdata=0x00001537 trap=0
t=95000 instr=1 addr=0x00000004 wstrb=0x0 wdata=0xxxxxxxxx rdata=0x50000593 trap=0
t=125000 instr=1 addr=0x00000008 wstrb=0x0 wdata=0xxxxxxxxx rdata=0x00800613 trap=0
t=155000 instr=1 addr=0x0000000c wstrb=0x0 wdata=0xxxxxxxxx rdata=0x00800693 trap=0
t=185000 instr=1 addr=0x00000010 wstrb=0x0 wdata=0xxxxxxxxx rdata=0x00800713 trap=0
t=215000 instr=1 addr=0x00000014 wstrb=0x0 wdata=0xxxxxxxxx rdata=0x10c52023 trap=0
t=245000 instr=1 addr=0x00000018 wstrb=0x0 wdata=0xxxxxxxxx rdata=0x10d52223 trap=0
t=265000 instr=0 addr=0x00001100 wstrb=0xf wdata=0x00000008 rdata=0x00000000 trap=0
t=295000 instr=1 addr=0x0000001c wstrb=0x0 wdata=0x00000008 rdata=0x10e52423 trap=0
t=315000 instr=0 addr=0x00001104 wstrb=0xf wdata=0x00000008 rdata=0x00000000 trap=0
t=345000 instr=1 addr=0x00000020 wstrb=0x0 wdata=0x00000008 rdata=0x0005a283 trap=0
t=365000 instr=0 addr=0x00001108 wstrb=0xf wdata=0x00000008 rdata=0x00000000 trap=0
t=395000 instr=1 addr=0x00000024 wstrb=0x0 wdata=0x00000008 rdata=0x00552023 trap=0
t=415000 instr=0 addr=0x00000500 wstrb=0x0 wdata=0x00000008 rdata=0x0000000d trap=0
t=445000 instr=1 addr=0x00000028 wstrb=0x0 wdata=0x00000008 rdata=0x0045a283 trap=0
t=465000 instr=0 addr=0x00001000 wstrb=0xf wdata=0x0000000d rdata=0x00000000 trap=0
t=495000 instr=1 addr=0x0000002c wstrb=0x0 wdata=0x0000000d rdata=0x00552223 trap=0
t=515000 instr=0 addr=0x00000504 wstrb=0x0 wdata=0x0000000d rdata=0x00000007 trap=0
